,type,price,index,position,capital
236,BUY,587.0700073242188,2026-03-25 19:40:00+00:00,198.5854008228946,
237,SELL,587.2550048828125,2026-03-25 19:43:00+00:00,,116620.27052990424
238,BUY,587.02001953125,2026-03-25 19:49:00+00:00,198.66489497756552,
239,SELL,587.72998046875,2026-03-25 19:59:00+00:00,,116761.31484499086
240,BUY,582.5700073242188,2026-03-26 13:44:00+00:00,200.4245213056591,
241,SELL,582.9600219726562,2026-03-26 13:45:00+00:00,,116839.48334420615
242,BUY,582.5750122070312,2026-03-26 13:46:00+00:00,200.55697703471805,
243,SELL,583.159912109375,2026-03-26 13:48:00+00:00,,116956.78910048811
244,BUY,582.5999755859375,2026-03-26 13:58:00+00:00,200.7497322375637,
245,SELL,584.0499877929688,2026-03-26 14:07:00+00:00,,117247.87866279083
246,BUY,582.989990234375,2026-03-26 14:11:00+00:00,201.11473717697032,
247,SELL,583.8300170898438,2026-03-26 14:18:00+00:00,,117416.82044305002
248,BUY,583.5599975585938,2026-03-26 14:21:00+00:00,201.20779514408113,
249,SELL,583.8399047851562,2026-03-26 14:25:00+00:00,,117473.13995895155
250,BUY,581.3499755859375,2026-03-26 14:59:00+00:00,202.06957064124998,
251,SELL,581.6699829101562,2026-03-26 15:03:00+00:00,,117537.80370155849
252,BUY,581.135009765625,2026-03-26 15:04:00+00:00,202.25558902218287,
253,SELL,581.5900268554688,2026-03-26 15:05:00+00:00,,117629.83345107999
254,BUY,580.9378051757812,2026-03-26 15:20:00+00:00,202.48266234883326,
255,SELL,581.1699829101562,2026-03-26 15:21:00+00:00,,117676.84541687436
256,BUY,580.9500122070312,2026-03-26 15:27:00+00:00,202.5593303110875,
257,SELL,581.0800170898438,2026-03-26 15:28:00+00:00,,117703.17911887403
258,BUY,580.6400146484375,2026-03-26 15:37:00+00:00,202.7128274825156,
259,SELL,580.9600219726562,2026-03-26 15:40:00+00:00,,117768.04870838154
260,BUY,580.7100219726562,2026-03-26 15:41:00+00:00,202.80009686818673,
